"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2016年9月6日","671.80","672.90","672.90","671.80","0.01K","0.31%"
"2016年9月5日","669.70","670.90","671.30","669.70","0.01K","0.80%"
"2016年9月2日","664.40","661.70","664.40","661.70","0.04K","0.83%"
"2016年9月1日","658.90","662.70","663.00","658.90","0.01K","-0.11%"
"2016年8月31日","659.60","659.60","659.60","659.60","0.00K","-0.66%"
"2016年8月30日","664.00","663.10","664.00","663.10","0.02K","0.17%"
"2016年8月26日","662.90","656.90","662.90","656.90","0.13K","0.87%"
"2016年8月25日","657.20","655.80","659.20","655.80","0.03K","-0.65%"
"2016年8月24日","661.50","658.40","663.80","658.40","0.03K","1.82%"
"2016年8月22日","649.70","655.20","658.40","649.70","0.08K","-1.61%"
"2016年8月15日","660.30","661.60","661.60","660.30","0.04K","1.09%"
"2016年8月10日","653.20","653.00","653.20","653.00","0.01K","0.12%"
"2016年8月9日","652.40","651.40","652.40","651.40","0.04K","1.02%"
"2016年8月8日","645.80","645.80","645.80","645.80","0.02K","1.29%"
"2016年8月5日","637.60","634.00","637.60","634.00","0.08K","0.76%"
"2016年8月4日","632.80","634.60","634.60","632.20","0.00K","1.33%"
"2016年8月3日","624.50","624.30","624.50","622.20","0.12K","-0.62%"
"2016年8月2日","628.40","628.50","628.50","626.40","0.03K","-0.76%"
"2016年8月1日","633.20","639.90","639.90","633.20","0.01K","0.13%"
"2016年7月29日","632.40","633.60","634.00","632.40","0.08K","-0.52%"
"2016年7月28日","635.70","638.90","638.90","635.10","0.03K","0.20%"
"2016年7月27日","634.40","636.20","637.00","634.40","0.12K","1.20%"
"2016年7月26日","626.90","625.80","626.90","625.80","0.03K","0.63%"
"2016年7月25日","623.00","620.70","626.60","620.70","0.02K","0.66%"
"2016年7月22日","618.90","620.50","621.70","618.90","0.03K","-0.31%"
"2016年7月21日","620.80","621.20","621.50","616.80","0.05K","-0.02%"
"2016年7月20日","620.90","621.40","621.70","620.00","0.39K","1.12%"
"2016年7月19日","614.00","613.60","614.00","613.60","0.00K","-0.16%"
"2016年7月18日","615.00","618.70","618.70","615.00","0.02K","0.08%"
"2016年7月15日","614.50","612.00","614.50","612.00","0.00K","-0.60%"
"2016年7月14日","618.20","612.70","618.20","612.70","0.11K","1.10%"
"2016年7月13日","611.50","610.00","613.00","610.00","0.10K","0.02%"
"2016年7月12日","611.40","612.40","612.40","611.40","0.13K","0.99%"
"2016年7月11日","605.40","598.60","605.40","597.20","0.01K","2.87%"
"2016年7月8日","588.50","579.60","590.10","579.60","0.06K","1.64%"
"2016年7月7日","579.00","580.80","580.80","579.00","0.01K","1.31%"
"2016年7月6日","571.50","575.50","576.00","571.50","0.01K","-5.21%"
